aave	189.24,189.24,189.24,0.0,405777211.0,1
algorand	0.235575,0.235575,0.235575,0.0,151148368.0,1
aptos	6.16,6.16,6.16,0.0,383955388.0,1
arbitrum	0.412763,0.412763,0.412763,0.0,332597720.0,1
avalanche-2	21.65,21.65,21.65,0.0,798262812.0,1
berachain-bera	7.96,7.96,7.96,0.0,490972147.0,1
binance-peg-weth	2189.53,2189.53,2189.53,0.0,72354986.0,1
binance-staked-sol	151.97,151.97,151.97,0.0,9645568.0,1
binancecoin	587.85,587.85,587.85,0.0,1615754528.0,1
bitcoin	83109.0,83109.0,83109.0,0.0,84749380967.0,1
bitcoin-cash	298.04,298.04,298.04,0.0,438455466.0,1
bitget-token	3.97,3.97,3.97,0.0,346598202.0,1
bittensor	328.24,328.24,328.24,0.0,247462174.0,1
blockstack	0.815939,0.815939,0.815939,0.0,74886695.0,1
bonk	1.321e-05,1.321e-05,1.321e-05,0.0,152020800.0,1
cardano	0.626857,0.626857,0.626857,0.0,1126618869.0,1
celestia	3.61,3.61,3.61,0.0,158256114.0,1
chainlink	14.51,14.51,14.51,0.0,807684079.0,1
coinbase-wrapped-btc	82902.0,82902.0,82902.0,0.0,478026050.0,1
cosmos	4.5,4.5,4.5,0.0,173131963.0,1
crypto-com-chain	0.073351,0.073351,0.073351,0.0,35677951.0,1
dai	1.0,1.0,1.0,0.0,230099318.0,1
dexe	18.24,18.24,18.24,0.0,18580205.0,1
dogecoin	0.194962,0.194962,0.194962,0.0,2605619388.0,1
eos	0.553546,0.553546,0.553546,0.0,134728839.0,1
ethena	0.413135,0.413135,0.413135,0.0,271848179.0,1
ethena-usde	0.998614,0.998614,0.998614,0.0,96734021.0,1
ethereum	2193.2,2193.2,2193.2,0.0,39630224653.0,1
ethereum-classic	18.96,18.96,18.96,0.0,212298501.0,1
fasttoken	4.0,4.0,4.0,0.0,48267699.0,1
fetch-ai	0.642819,0.642819,0.642819,0.0,175002530.0,1
filecoin	3.22,3.22,3.22,0.0,243389532.0,1
first-digital-usd	0.997828,0.997828,0.997828,0.0,10546110779.0,1
flare-networks	0.01692102,0.01692102,0.01692102,0.0,13447407.0,1
floki	7.95e-05,7.95e-05,7.95e-05,0.0,157127257.0,1
gala	0.01937468,0.01937468,0.01937468,0.0,129994236.0,1
gatechain-token	20.36,20.36,20.36,0.0,26943467.0,1
hedera-hashgraph	0.203404,0.203404,0.203404,0.0,489411136.0,1
hyperliquid	20.04,20.04,20.04,0.0,273211016.0,1
immutable-x	0.714081,0.714081,0.714081,0.0,54138106.0,1
injective-protocol	13.01,13.01,13.01,0.0,153536019.0,1
